Date,Mentions_Count,Sentiment_Score,Channel_E Commerce,Channel_General Trade,Channel_HoReCa,Channel_Modern Trade,Channel_Q Commerce,Brand_Amazon Solimo,Brand_B Natural,Brand_Minute Maid,Brand_Paper Boat,Brand_Real Fruit Juice,Brand_Tropicana
2023-01-02,4027,69.11666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-01-09,4899,68.72500000000001,3,2,3,2,2,1,2,5,2,1,1
2023-01-16,6050,69.97500000000001,3,2,3,2,2,1,2,5,2,1,1
2023-01-23,4087,71.89166666666667,3,2,3,2,2,1,2,5,2,1,1
2023-01-30,4732,67.00833333333334,3,2,3,2,2,1,2,5,2,1,1
2023-02-06,4411,68.52499999999999,3,2,3,2,2,1,2,5,2,1,1
2023-02-13,5198,67.75,3,2,3,2,2,1,2,5,2,1,1
2023-02-20,4177,72.41666666666667,3,2,3,2,2,1,2,5,2,1,1
2023-02-27,4603,66.47500000000001,3,2,3,2,2,1,2,5,2,1,1
2023-03-06,4861,71.38333333333334,3,2,3,2,2,1,2,5,2,1,1
2023-03-13,4770,71.38333333333334,3,2,3,2,2,1,2,5,2,1,1
2023-03-20,3831,68.71666666666667,3,2,3,2,2,1,2,5,2,1,1
2023-03-27,4427,71.10833333333333,3,2,3,2,2,1,2,5,2,1,1
2023-04-03,4300,69.98333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-04-10,4746,71.60833333333333,3,2,3,2,2,1,2,5,2,1,1
2023-04-17,5140,71.2,3,2,3,2,2,1,2,5,2,1,1
2023-04-24,4211,70.39999999999999,3,2,3,2,2,1,2,5,2,1,1
2023-05-01,4808,68.85000000000001,3,2,3,2,2,1,2,5,2,1,1
2023-05-08,6595,70.05833333333334,3,2,3,2,2,1,2,5,2,1,1
2023-05-15,4662,72.29166666666667,3,2,3,2,2,1,2,5,2,1,1
2023-05-22,4457,67.02499999999999,3,2,3,2,2,1,2,5,2,1,1
2023-05-29,4328,67.29166666666667,3,2,3,2,2,1,2,5,2,1,1
2023-06-05,5138,72.48333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-06-12,5589,70.34166666666667,3,2,3,2,2,1,2,5,2,1,1
2023-06-19,5471,70.49166666666666,3,2,3,2,2,1,2,5,2,1,1
2023-06-26,4674,69.86666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-07-03,4530,70.35000000000001,3,2,3,2,2,1,2,5,2,1,1
2023-07-10,5072,69.93333333333334,3,2,3,2,2,1,2,5,2,1,1
2023-07-17,4676,70.89999999999999,3,2,3,2,2,1,2,5,2,1,1
2023-07-24,6463,72.31666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-07-31,6162,68.78333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-08-07,5344,72.0,3,2,3,2,2,1,2,5,2,1,1
2023-08-14,4153,72.65833333333333,3,2,3,2,2,1,2,5,2,1,1
2023-08-21,5163,70.61666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-08-28,5298,70.48333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-09-04,5171,69.575,3,2,3,2,2,1,2,5,2,1,1
2023-09-11,5073,69.31666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-09-18,3426,69.86666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-09-25,4536,69.3,3,2,3,2,2,1,2,5,2,1,1
2023-10-02,5041,69.61666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-10-09,6512,70.08333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-10-16,4804,70.24166666666666,3,2,3,2,2,1,2,5,2,1,1
2023-10-23,6391,71.11666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-10-30,4839,70.53333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-11-06,6137,69.46666666666667,3,2,3,2,2,1,2,5,2,1,1
2023-11-13,4012,71.04166666666667,3,2,3,2,2,1,2,5,2,1,1
2023-11-20,4526,71.70833333333333,3,2,3,2,2,1,2,5,2,1,1
2023-11-27,3827,70.83333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-12-04,5589,71.33333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-12-11,6018,69.78333333333335,3,2,3,2,2,1,2,5,2,1,1
2023-12-18,5371,69.15833333333333,3,2,3,2,2,1,2,5,2,1,1
2023-12-25,4320,70.47500000000001,3,2,3,2,2,1,2,5,2,1,1
2024-01-01,6003,70.48333333333333,3,2,3,2,2,1,2,5,2,1,1
2024-01-08,3795,70.05,3,2,3,2,2,1,2,5,2,1,1
2024-01-15,4524,69.89166666666667,3,2,3,2,2,1,2,5,2,1,1
2024-01-22,5737,69.3,3,2,3,2,2,1,2,5,2,1,1
2024-01-29,4579,68.975,3,2,3,2,2,1,2,5,2,1,1
2024-02-05,4413,72.14166666666667,3,2,3,2,2,1,2,5,2,1,1
2024-02-12,5465,68.44166666666666,3,2,3,2,2,1,2,5,2,1,1
2024-02-19,5603,72.33333333333333,3,2,3,2,2,1,2,5,2,1,1
2024-02-26,5107,69.86666666666666,3,2,3,2,2,1,2,5,2,1,1
2024-03-04,4730,71.10000000000001,3,2,3,2,2,1,2,5,2,1,1
2024-03-11,4596,70.09166666666667,3,2,3,2,2,1,2,5,2,1,1
2024-03-18,4708,70.14999999999999,3,2,3,2,2,1,2,5,2,1,1
2024-03-25,4595,69.325,3,2,3,2,2,1,2,5,2,1,1
2024-04-01,4929,69.47500000000001,3,2,3,2,2,1,2,5,2,1,1
2024-04-08,4714,70.575,3,2,3,2,2,1,2,5,2,1,1
2024-04-15,4580,70.68333333333334,3,2,3,2,2,1,2,5,2,1,1
2024-04-22,5986,69.85000000000001,3,2,3,2,2,1,2,5,2,1,1
2024-04-29,4289,69.35833333333333,3,2,3,2,2,1,2,5,2,1,1
2024-05-06,4586,71.54166666666667,3,2,3,2,2,1,2,5,2,1,1
2024-05-13,3714,69.01666666666667,3,2,3,2,2,1,2,5,2,1,1
2024-05-20,4788,68.16666666666667,3,2,3,2,2,1,2,5,2,1,1
2024-05-27,3670,68.56666666666666,3,2,3,2,2,1,2,5,2,1,1
2024-06-03,4978,70.66666666666667,3,2,3,2,2,1,2,5,2,1,1
2024-06-10,5985,70.23333333333333,3,2,3,2,2,1,2,5,2,1,1
2024-06-17,4848,71.16666666666667,3,2,3,2,2,1,2,5,2,1,1
2024-06-24,6122,68.90833333333333,3,2,3,2,2,1,2,5,2,1,1
2024-07-01,5251,68.95,3,2,3,2,2,1,2,5,2,1,1
2024-07-08,3674,69.25,3,2,3,2,2,1,2,5,2,1,1
2024-07-15,5840,68.76666666666667,3,2,3,2,2,1,2,5,2,1,1
2024-07-22,5147,69.70833333333333,3,2,3,2,2,1,2,5,2,1,1
2024-07-29,3980,70.40833333333333,3,2,3,2,2,1,2,5,2,1,1
2024-08-05,6039,70.89999999999999,3,2,3,2,2,1,2,5,2,1,1
2024-08-12,5147,70.45,3,2,3,2,2,1,2,5,2,1,1
2024-08-19,4945,71.475,3,2,3,2,2,1,2,5,2,1,1
2024-08-26,4904,69.58333333333333,3,2,3,2,2,1,2,5,2,1,1
2024-09-02,4924,70.55,3,2,3,2,2,1,2,5,2,1,1
2024-09-09,5903,72.95,3,2,3,2,2,1,2,5,2,1,1
2024-09-16,4034,70.725,3,2,3,2,2,1,2,5,2,1,1
2024-09-23,4880,69.61666666666666,3,2,3,2,2,1,2,5,2,1,1
2024-09-30,6054,69.14999999999999,3,2,3,2,2,1,2,5,2,1,1
2024-10-07,4450,70.58333333333333,3,2,3,2,2,1,2,5,2,1,1
2024-10-14,5302,68.95,3,2,3,2,2,1,2,5,2,1,1
2024-10-21,4714,70.33333333333333,3,2,3,2,2,1,2,5,2,1,1
2024-10-28,5077,68.44166666666666,3,2,3,2,2,1,2,5,2,1,1
2024-11-04,4915,71.14166666666667,3,2,3,2,2,1,2,5,2,1,1
2024-11-11,5332,70.53333333333333,3,2,3,2,2,1,2,5,2,1,1
2024-11-18,4621,70.10833333333333,3,2,3,2,2,1,2,5,2,1,1
2024-11-25,4655,71.13333333333334,3,2,3,2,2,1,2,5,2,1,1
2024-12-02,4887,67.73333333333333,3,2,3,2,2,1,2,5,2,1,1
2024-12-09,4716,71.61666666666666,3,2,3,2,2,1,2,5,2,1,1
2024-12-16,5095,68.24166666666666,3,2,3,2,2,1,2,5,2,1,1
2024-12-23,4371,69.375,3,2,3,2,2,1,2,5,2,1,1
2024-12-30,3850,67.78333333333333,3,2,3,2,2,1,2,5,2,1,1
